Class,Compound,M1,M2,M3,M4,M5,M7,M8,M9,M10,M11,M13,M14,M15B,M16
Sugar,D-glucose,0.4 g,15 g,5 g,5 g,5 g,5 g,5 g,,5 g,5 g,5 g,10 g,0.5 g,
Sugar,Fructose,1 g,,1 g,1 g,1 g,1 g,1 g,,1 g,1 g,,,,
Sugar,Cellobiose,1 g,,1 g,1 g,1 g,,1 g,,1 g,1 g,,,,
Sugar,Maltose,1 g,,1 g,1 g,1 g,,1 g,,1 g,1 g,,,,
Sugar,Lactose,,,1 g,1 g,1 g,,1 g,,1 g,1 g,,,,
Others,DL-Lactic acid = Sodium-L-Lactate,,,,,,,,,,,,,,10 g
Others,Resazurin,1 mg,,1 mg,1 mg,1 mg,1 mg,1 mg,1 mg,1 mg,1 mg,,,,
Others,NAD (N1511),,,2 mg,2 mg,2 mg,2 mg,2 mg,2 mg,2 mg,2 mg,,,,
Others,Hemin,,,0.5 mg,0.5 mg,0.5 mg,0.5 mg,0.5 mg,0.5 mg,0.5 mg,0.5 mg,,,,
Others,Mucin,,,,,,,5 g,5 g,,,,,,
Others,KCl,,,,,,,50 mg,50 mg,,,,,,
Others,Putrescine * 2HCl,,,,,,,,,,,,,,5 mg
Others,Hematin,1.2 mg,,1.2 mg,1.2 mg,1.2 mg,1.2 mg,1.2 mg,1.2 mg,1.2 mg,1.2 mg,1.2 mg,,,
Amino acids,l-Histidine,31 mg,0.17 g,0.171 g,0.171 g,0.171 g,0.171 g,0.171 g,0.171 g,31 mg,0.171 g,31 mg,0.5 g,,
Amino acids,l-Isoleucine,,0.24 g,0.24 g,0.24 g,0.24 g,0.24 g,0.24 g,0.24 g,24 mg,0.24 g,,0.5 g,,
Amino acids,l-Leucine,,1 g,1 g,1 g,1 g,1 g,1 g,1 g,0.1 g,1 g,,0.5 g,,
Amino acids,l-Methionine,,0.125 g,0.125 g,0.125 g,0.125 g,0.125 g,0.125 g,0.125 g,12.5 mg,0.125 g,,0.35 g,,
Amino acids,l-Valine,,0.7 g,0.7 g,0.7 g,0.7 g,0.7 g,0.7 g,0.7 g,70 mg,0.7 g,,0.375 g,,
