nid	Name	TrA0_Amuciniphila	TrA0_Aodontolyticus	TrA0_Aputredinis	TrA0_Badolescentis	TrA0_Bcrossotus	TrA0_Bfragilis	TrA0_Bhansenii	TrA0_Binfantis	TrA0_BlactisBI07	TrA0_Blongum	TrA0_Bthetaiotaomicron	TrA0_Buniformis	TrA0_Bvulgatus	TrA0_Cbolteae	TrA0_Ccomes	TrA0_Cramosum	TrA0_Csaccharolyticum	TrA0_EcoliIAI1	TrA0_Elenta	TrA0_Erectale	TrA0_Esiraeum	TrA0_Fnucleatum	TrA0_InoculationMix1	TrA0_InoculationMix2	TrA0_InoculationMix3	TrA0_Lgasseri	TrA0_Llactis	TrA0_Lparacasei	TrA0_Mix1	TrA0_Mix10	TrA0_Mix11	TrA0_Mix12	TrA0_Mix13	TrA0_Mix14	TrA0_Mix15	TrA0_Mix16	TrA0_Mix17	TrA0_Mix18	TrA0_Mix19	TrA0_Mix2	TrA0_Mix20	TrA0_Mix21	TrA0_Mix22	TrA0_Mix23	TrA0_Mix24	TrA0_Mix25	TrA0_Mix3	TrA0_Mix4	TrA0_Mix5	TrA0_Mix6	TrA0_Mix7	TrA0_Mix8	TrA0_Mix9	TrA0_Pcapillosus	TrA0_Pcopri	TrA0_Pmelaninogenica	TrA0_Rbromii	TrA0_Rgnavus	TrA0_Rintestinalis	TrA0_Ssalivarius	TrA0_T149Med31	TrA0_T149Med32	TrA0_T149Med33	TrA0_T149Med81	TrA0_T149Med82	TrA0_T149Med83	TrA0_T269Med31	TrA0_T269Med32	TrA0_T269Med33	TrA0_T269Med81	TrA0_T269Med82	TrA0_T269Med83	TrA0_T389Med31	TrA0_T389Med32	TrA0_T389Med33	TrA0_T389Med81	TrA0_T389Med82	TrA0_T389Med83	TrA0_T4109Med31	TrA0_T4109Med32	TrA0_T4109Med33	TrA0_T4109Med81	TrA0_T4109Med82	TrA0_T4109Med83	TrA0_T5129Med31	TrA0_T5129Med32	TrA0_T5129Med33	TrA0_T5129Med81	TrA0_T5129Med82	TrA0_T5129Med83	TrA0_T6149Med31	TrA0_T6149Med32	TrA0_T6149Med33	TrA0_T6149Med81	TrA0_T6149Med82	TrA0_T6149Med83	TrA0_T7169Med31	TrA0_T7169Med32	TrA0_T7169Med33	TrA0_T7169Med81	TrA0_T7169Med82	TrA0_T7169Med83	TrA0_T8189Med31	TrA0_T8189Med32	TrA0_T8189Med33	TrA0_T8189Med81	TrA0_T8189Med83	TrA0_T9209Med31	TrA0_T9209Med32	TrA0_T9209Med33	TrA0_T9209Med81	TrA0_T9209Med82	TrA0_T9209Med83
NT5021	 s__Akkermansia muciniphila	0.999702092798093	0	0.000458715596330275	0	0	0	0	0	0	0.000783085356303837	0	0	0	0	0	0	0	0	0.000188946622579121	0	0.000336134453781513	0	0.27419671808981	0.272461223295288	0.249526056367696	0	0.000265322366675511	0	0	0.120978375527426	0.118531860000974	0.00429562339354248	0.0396339971620101	0.000331821701139255	0.000517636619093396	0.00756259580991313	0	0	0.00351758793969849	0	0.0220675160908971	0.000944632355181766	0	0	0	0	0.00383028874484384	0.313787825267868	0	0	0	0	0.00225501444000475	0	0	0	0	0.00011725047633006	0	0	0.00156081162204346	0.00177905308464849	0.00160668380462725	0.00377044635431106	0.00326752893124575	0.00334365325077399	0	0	0	0.000334288443170965	0.000421740734883231	0	0	0	0	0.00149070501578394	0.000337913944582113	0.000381322147883662	0	0	0	0.00073184119046167	0	0.00119952019192323	0	0	0	0.000937160895728519	0.00159627111068544	0.00213424394408281	0	0	0	0.00132175226586103	0.00157310440918693	0.000726494092455932	0	0	0	0	0.000763125763125763	0.000801924619085806	0	0	0	0	0.000458295142071494	0	0	0	0	0.000152098965727033	0
NT5014	 s__Alistipes putredinis	0	0	0.998256880733945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259408470079591	0.0260044316233956	0.0243922989425791	0	0	0	0	0.0750263713080169	0.00554933554008665	0.00369705292067181	0.0483436903655135	0.00188032297312244	0.00340161206832803	0.0364844149207971	0	0	0.0022892238972641	0.00658404337722696	0.035071588073033	0.000792272297894384	0	0	0	0	0.106200484515157	0.00211939244083363	0	0	0	0.00431427860283747	0.074692408118052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017531556802244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5039	 s__Actinomyces odontolyticus	0	0.999871827736478	0.000137614678899083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00545347351871868	0.00752539821898909	0.0079201246998357	0	0	0	0	0	0.00360220026286326	0.0794690327805359	0.0597445809071782	0.00287578807654021	0	0	0	0.092010907989092	0.00139586823003908	0	0	0.000731328274979431	0	0	0	0.00737851797196163	0	0	0.00564855705042621	0.210181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5004	 s__Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0269234548491697	0.0247083908190142	0.0260353035345663	0	0	0	0.00360065466448445	0.000725210970464135	0.00204449204108455	0.00172529136298018	0.0132602632480305	0	0	0	0	0	0.000279173646007817	0.0530596436870643	0.00328385656114541	0.000182832068744858	0	0	0	0	0.00235710076605775	0.000588720122453785	0	0	0	0.0475400315274206	0.0359615460695494	0	0	0	0	0	0	0	0.0101452755432825	0.0113055954088953	0.0096401028277635	0.033878569448295	0.0326752893124575	0.0321981424148607	0.00346377772864618	0.00384615384615385	0.00488798370672098	0.014422158548233	0.0145500553534715	0.0153572223458714	0.00192604006163328	0.00192847124824684	0.00166929425948252	0.0147316730971589	0.00976195839903882	0.00727978645959718	0.00134345402028616	0.00168168976187273	0.00211570730283797	0.0214673415868756	0.0220428611188422	0.0261038441766151	0.00249021700462469	0.00193395888546666	0.0018641810918775	0.0251553714116603	0.015675382306931	0.0247038736527585	0.00313878520529352	0.00234449410213202	0.00289945929002429	0.0234138972809668	0.0276416917614275	0.0192329751844913	0.00347983962478251	0.00343223247654641	0.00253968253968254	0.0250916267268114	0.0247252747252747	0.0316760224538893	0.00326797385620915	0.00270943175161101	0.00208503983915407	0.0319303338171263	0.0344867094408799	0.00243848370649523	0.00159550220331257	0.00291731891276505	0.0266845375898623	0.0294564996958021	0.0308065643894213
NT5002	 s__Bacteroides uniformis	0	0	0	0	0	0	0	0	0	0	0	0.999411691850384	0	7.83361403783636e-05	0	0	0	0	0	0	0	0	0.0779208018079984	0.086458463982608	0.0875847832497788	0	0	0	0.378723404255319	0	0	0.00154924122390057	0.0322454371972403	0.194889945802455	0.881904902758264	0	0	0	0	0	0.00945750689609878	0.0167291342901545	0.0474384974869941	0	0.124654994850669	0	0	0	0	0	0	0.134489338753837	0	0	0	0	0	0	0	0	0.00492255973106015	0.00413199426111908	0.00404884318766067	0.00537843082894372	0.00571817562968005	0.00464396284829721	0.00397965951801901	0	0	0.0129894937917861	0.0148136433127735	0.016636990874694	0.00452619414483821	0.00490883590462833	0.00482240563850505	0.023500526131182	0.013967109709394	0.0130342843276597	0.00510512527708739	0.00645768868559128	0.0063471219085139	0.0239068122217479	0.0213748956303924	0.0327297652367624	0.00860903593027392	0.00766420743499749	0.0073901464713715	0.017066193153793	0.0151645755515117	0.0148329954113755	0	0	0.00650419246140585	0.013595166163142	0.0136185895995326	0.00726494092455932	0.00703532793706029	0.00671192128746854	0.00698412698412698	0.0135325627290668	0.0104293854293854	0.0106032255190234	0.0076518412242946	0.00563854715875806	0	0.0135462022254475	0.00611060189428659	0.00628094288036651	0.00296307552043762	0.00547886722641241	0.0114130214044921	0.00882174001216792	0
NT5001	 s__Bacteroides vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00476564802987128	0.00497512437810945	0.00417070396427518	0	0	0	0.0677577741407529	0	0	0	0.0068013896364437	0.011724366773587	0.00059158470753531	0	0	0	0.000446677833612507	0	0.539603310127414	0.000700856263521955	0.000617229521206243	0	0	0	0	0	0	0.00563636363636364	0.0478076888448726	0.0245582012776902	0	0	0	0	0	0	0	0	0.000180093648697323	0	0	0.000443581924036596	0.000408441116405718	0	0	0	0	0	0.000105435183720808	0	0	0	0	0	3.7545993842457e-05	0	0	0	0	0	0	0	0	0	0	0	9.57762666411263e-05	0	0	0	0	0	0.000269675041574902	3.82365311818912e-05	0	0	0	0.000169157034113335	0	0	0	7.3227885178676e-05	7.44657085412168e-05	0	0.000114573785517874	0	0	0.000142308239647076	0.000162462938142236	0.000152098965727033	0
NT5022	 s__Bifidobacterium adolescentis	0	0	0	0.881206374292111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00265304117126855	0.00401354571679418	0.00341239415258879	0	0	0	0.000490998363338789	0.066917194092827	0.00457576790147496	0.00362663286503996	0.0606253363996673	0	0	0	0.0217819183834142	0.000302999697000303	0.00156337241764377	0.00435708752904725	0.0115591750952318	0.000609440229149526	0	0	0	0	0.0603679696195901	0.246791475332627	0	0	0	0	0.00150334296000317	0	0	0	0	0	0	0	0.000600312162324409	0	0	0.00110895481009149	0.000476514635806671	0	0.00243201414990051	0	0.00228105906313646	0	0	0	0.00548921417565485	0.00438288920056101	0.00463692849856255	0	7.5091987684914e-05	0	0.00100759051521462	0.00188349253329746	0.00291821696943168	0	0	0	0.00142298114549982	0.00300838048850369	0.00652463382157124	0	0	0	0.00212080081438751	0.00278408674628178	0.00877674163466813	0	0	0	0.00347983962478251	0.00518648463122569	0.00888888888888889	0	0	0	0.00565917423880121	0.00681019332161687	0.0124357733263832	0	0	0.00465528707603636	0.00547029326850023	0.0119538921303543	4.06157345355591e-05	5.06996552423444e-05	0
NT5044	 s__Bifidobacterium animalis subsp. lactis BI-07	0	0	4.58715596330275e-05	0	0	0	0	0	0.9965075669383	0	0	0	0	0	0	0	0	0	0	3.09587938453918e-05	0	0	0.000982607841210573	0	0.0011374647175296	0	0	0	0	0	0.00155770822177871	0.0347875074821309	0.0542643245094681	0.00110607233713085	0	0	0	0	0.00753768844221105	0.000193648334624322	0.000394062787337449	0.000426608160404668	0	0	0	0	0	0	0.00287562904385334	0.0888181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5005	 s__Blautia hansenii	0	0	0	0	0	0	0.99990145517853	0	0	0	0	0	0	0	0	0	0	0.00295809367296631	0	0	0	0	0.00928564409943991	0.0105355575065847	0.00813076631419303	0	0	0	0.0207855973813421	0.00454905063291139	0.0128024144477438	0.0110559487341995	0.0837696335078534	0.0679128414998341	0	0	0	0	0	0.389426800929512	0.0224615788782346	0	0	0	0	0	0.0135860669154717	0	0	0	0.00999369766813721	0.347216460632208	0.221940894884678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.86485153398441e-05	0	0	0	0	0	0.00424848942598187	0.0134837520787451	0.00164417084082132	0	0	0	0.0186636594305047	0.0215201465201465	0.0108259823576584	0	0	0	0.0197871311078858	0.0191338221814849	0	0	0	0.0246537508630844	0.029304400730075	0.0199481758729898
NT5013	 s__Butyrivibrio crossotus	0	0	0	0	0.999590625319824	0	0	0	0	0	0	0.000588308149616051	0	0	0	0	0	0	0	0	0	0	0.0477056106907733	0.0428529620803545	0.0400219067278932	0	0	0	0	0.209520042194093	0.0155284038358565	0.0101404880109855	0.0276948671527132	0.0203517310032076	0.0320195222953487	0.952120592743996	0	0.00222199777800222	0.00650474595198213	0.032436096049574	0.0363851306974911	0.00496693786756864	0.0142844546336302	0	0	0.00421629598397808	0.215183657434689	0.00459201695513953	0	0	0	0.0121131668464283	0.187126636863552	0.00082245040374838	0	0	0	0	0	0	0	0	0.0006426735218509	0	0	0	0	0	8.14663951120163e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
