"simulationID","time","B._vulgatus","B._uniformis","B._fragilis_spp","B._thetaiotaomicron","B._hansenii","C._ramosum","L._gasseri","E._rectale","B._crossotus","H._parainfluenzae","P._copri","P._melaninogenica","B._adolescentis","E._lenta","F._nucleatum_subsp._nucleatum","C._bolteae","B._longum_subsp._longum","F._nucleatum_subsp._animalis","C._perfringens_S107","D._piger","C._saccharolyticum","S._salivarius","A._odontolyticus","E._siraeum","L._paracasei","B._animalis_subsp._lactis_spp","R._gnavus","C._comes","E._coli_spp","C._difficile","L._lactis","L._plantarum","S._typhimurium_spp","V._cholerae_spp","Count_survivors","Fraction_survivors_correctly_predicted"
1,432,4.30784206708622e-12,1.12687060247592e-09,2.36780334566213e-07,0.00138371449535687,0.998596559891504,1.08953862115773e-10,1.36979431779335e-12,4.02453164422855e-11,4.83489971562876e-11,5.71335598555172e-11,3.52681777937965e-11,1.66351157315711e-11,3.49717639539918e-12,1.37064534031322e-12,3.22525757821241e-11,4.8344596427041e-11,2.24579524558332e-12,2.91198755531347e-11,2.02800600308664e-12,0,5.90580929452854e-12,4.96602458085786e-07,2.24045818030994e-12,1.53654416109234e-11,1.06895371919314e-12,1.79808500250962e-12,1.35479509449661e-12,1.02436784474565e-11,3.13116863384673e-06,8.70367404937056e-12,5.37242158215834e-12,1.16963969199567e-15,7.11533339348146e-06,8.74411827262476e-06,0,0
2,432,4.92956203448487e-11,4.97224301691285e-06,1.11515569249294e-07,0.001046008635858,3.45892394783992e-11,1.71829938445015e-09,3.98659122047104e-11,3.66929109770974e-10,4.96963659761954e-10,6.02557032764735e-10,3.9530441833729e-10,1.75241218978498e-10,1.88553334793761e-11,2.23812694977441e-11,3.43347282181162e-10,4.84042051240852e-10,2.09668682140293e-11,3.0226659080811e-10,1.85078658984468e-11,0,6.34025773184084e-11,7.23632343386153e-07,2.24213743445112e-11,1.6054788692533e-10,9.86986730790182e-12,5.10033525466697e-11,2.41153848861935e-11,1.41630260448465e-10,0.0286889985415826,1.72847351448867e-10,4.05837705115373e-11,3.37030328555793e-12,0.00254819399895954,0.967710985653465,1,0.25
3,432,1.10677359472014e-10,5.59029765639183e-09,9.44973935539612e-05,0.026196130660947,0.0116933939174596,3.7919099428215e-09,2.60968434595377e-11,9.73469759253579e-10,1.13653517086407e-09,1.28835033899053e-09,8.16157716262752e-10,3.9834881987675e-10,4.92954420933878e-11,3.02145934911076e-11,8.05309301485405e-10,9.88238940725806e-10,5.90721193790927e-11,7.75620085326721e-10,4.72110593341331e-11,0,1.40685220127051e-10,2.21989166040345e-06,1.4154388008846e-10,2.97017959362233e-10,7.36766742251216e-11,9.808162924645e-11,2.46372313050276e-10,3.59698935870051e-10,0.0024113645975338,3.29188081872383e-10,6.17397532399501e-11,5.72228337590796e-11,0.959561638156511,4.07366903020466e-05,0,0
4,432,7.92068091987486e-17,1.81530489995951e-11,0.999999894492113,2.72552350948978e-15,6.99740022942883e-14,5.8495647397714e-16,7.37530429963495e-17,8.04862111741822e-16,7.99970872948511e-16,9.2721462676153e-16,6.53332169542028e-16,3.31212540172938e-16,3.5533000834448e-17,2.34471249297723e-17,5.11782733237382e-16,7.66764712940529e-16,4.95415679838539e-17,6.35456241602622e-16,3.55581439607889e-17,0,1.10948090324581e-16,6.01085974855427e-09,4.46301482183235e-19,2.9928696797497e-16,3.02150138656501e-18,1.49583426815606e-16,7.39973323273075e-17,2.64442093768e-16,3.51188583063249e-08,3.13052639689263e-16,5.2972276194691e-17,5.30639829832462e-18,6.43572833863702e-08,2.65282357145591e-12,1,0.25
5,432,2.25239732931469e-09,4.38290042192558e-05,0.0246787937108431,3.17048966731225e-06,0.83220549525899,2.90822446015325e-08,1.59363302921012e-09,2.11695230897099e-08,3.06854148348535e-08,2.69945080395809e-08,2.34990852156575e-08,1.04520832705976e-08,1.2082484616467e-09,1.53654024314663e-09,1.46754559635656e-08,2.52820482246645e-08,1.59840491327593e-09,1.79467005687009e-08,1.24363925316691e-09,0,3.53179930911888e-09,0.000126714091550125,3.9818771175342e-09,6.98569249205022e-09,1.13473963760874e-09,1.965586666737e-09,5.30286978785605e-09,9.22996239632963e-09,0.121450275545879,6.90841159744304e-09,1.89147328267568e-09,8.52175394536803e-10,0.0213645953536995,0.00012687554063766,2,0.5
6,432,3.94055887422208e-12,2.10401812090246e-10,0.998395252246343,5.25592698359725e-09,1.99513809341158e-11,6.03859654393926e-11,1.17341972237653e-12,4.63632627195024e-11,6.6361011521829e-11,5.67100932153272e-11,4.41382647472841e-11,1.94617713558635e-11,2.12082160468302e-12,1.56972769262061e-12,3.11909838059284e-11,6.03316574375155e-11,2.70662639034572e-12,4.76604322662108e-11,2.41943040477626e-12,0,7.32677349759374e-12,2.51974441374542e-07,1.57582902316428e-12,1.53645202556717e-11,2.9375758289052e-13,4.17520497895515e-12,3.48880874371269e-12,1.55779600678384e-11,0.00118224626611163,1.86051172671146e-11,5.73009844316421e-12,1.10621823944873e-12,0.00026593908051828,0.000156304426527259,1,0.25
7,432,1.40285008259322e-11,1.39951705191789e-05,0.844369905899177,2.83105230099834e-10,2.81916623102612e-10,1.2223912699241e-10,1.26300886865878e-11,1.18033317600885e-10,1.61684443400422e-10,2.04601204934547e-10,1.1338963600011e-10,6.2781379407652e-11,1.37938571284189e-11,4.23620676084711e-12,1.18260071399685e-10,1.55531028645006e-10,4.73873397424993e-12,1.06899345872262e-10,7.47886545657356e-12,0,2.06973411455319e-11,4.54011872484827e-06,4.06388596437155e-12,5.02039912793348e-11,1.44731504801227e-11,1.7028556942497e-11,2.0429218223219e-11,4.64792191483869e-11,0.00338403172104182,5.09279064162618e-11,1.12189868057285e-11,9.42520899153214e-13,0.149173380297355,0.00305414477136999,1,0.25
8,432,5.36488531169532e-12,2.37898716832414e-07,0.00779721178399106,0.000179738274685422,0.99171107342432,2.11527323419567e-10,4.46509074632933e-12,6.66122011770028e-11,8.95231306988047e-11,1.14520008677836e-10,7.02082559082841e-11,2.84855150839569e-11,6.22592239096306e-12,9.7708579891048e-13,4.46870283953796e-11,7.5642626457058e-11,4.06146698883703e-12,5.95406288285774e-11,2.04666064384093e-12,0,1.02660908890986e-11,1.11225614902395e-08,3.4799757634936e-12,2.45875066748565e-11,6.28064155830043e-12,7.35470586269242e-12,2.73159018683501e-12,2.14662621245066e-11,3.58407651319107e-08,7.75332305881198e-12,7.16319381836391e-12,3.06194101903286e-13,0.000216397305443947,9.52934742385451e-05,1,0.25
9,432,5.84401616076109e-14,2.48187430201959e-10,4.58813665101922e-13,0.000343584030626838,0.999214138911321,1.50169678278923e-12,3.48070020975721e-14,6.26459299347601e-13,8.786170234513e-13,9.81293436915518e-13,6.72692981381285e-13,3.27213434979627e-13,3.04348615222514e-14,2.01917772931585e-14,5.46117704069816e-13,9.70502011762016e-13,2.56628148470296e-14,6.79637745621198e-13,3.58640779318821e-14,0,1.14138941085015e-13,2.61123414979349e-07,9.0608843540875e-14,2.67441102309657e-13,1.26715251471693e-14,4.75563238379306e-14,1.12228234501731e-13,2.74494345807964e-13,0.00044201263282065,3.68287927920245e-13,1.0072141321405e-13,5.36913970835378e-15,2.79055839807224e-09,2.53828663499499e-10,0,0
10,432,5.41790877820405e-11,6.39886056331418e-08,0.00049792086154507,1.39391613718788e-05,7.18597066133449e-08,1.40579878725969e-09,2.78772508706129e-11,6.37873338768492e-10,8.89591263954835e-10,8.0967324067328e-10,5.96692648028817e-10,2.91052260487685e-10,4.75850323368171e-11,7.69157838969742e-12,4.84257440630738e-10,8.43453470245074e-10,3.48586165421372e-11,6.10884101207115e-10,4.3998747307255e-11,0,1.02339234035061e-10,1.67379717212891e-06,2.26919837697258e-12,2.09997516750409e-10,4.87234776988996e-11,3.48851621318848e-11,1.89701467522213e-10,2.38954985051079e-10,0.0145780404957652,3.2295690503842e-10,5.56286674164949e-11,9.88849074925257e-12,0.00115152094392563,0.983756760891096,1,0.25
