Media	Species	MaxOD	MaxOD_sd	Rate	Rate_sd	AUC18	AUC18_sd	Count	Growing	Finished	Replicates	MaxOD_blank	MaxOD_blank_sd
1	A. muciniphila	0		0		0		0/3	0	0	3		
1	A. odontolyticus	0		0		0		0/6	0	0	6		
1	A. putredinis	0		0		0		0/3	0	0	3		
1	A. shahii	0		0		0		0/3	0	0	3		
1	B. adolescentis	0		0		0		0/3	0	0	3		
1	B. animalis subsp. lactis BI-07	0		0		0		0(1)/3	1	0	3		
1	B. animalis subsp. lactis BL-04	0		0		0		0(1)/2	1	0	2		
1	B. caccae	0		0		0		0/3	0	0	3		
1	B. clarus	0		0		0		0/3	0	0	3		
1	B. coprocola	0		0		0		0/3	0	0	3		
1	B. crossotus	0		0		0		0/3	0	0	3		
1	B. dorei	0		0		0		0/3	0	0	3		
1	B. eggerthii	0		0		0		0/3	0	0	3		
1	B. fragilis	0		0		0		0/3	0	0	3		
1	B. fragilis enterotoxigenic	0		0		0		0/6	0	0	6		
1	B. fragilis HM-20	0		0		0		0/3	0	0	3		
1	B. fragilis HM-709	0		0		0		0/3	0	0	3		
1	B. fragilis HM-710	0		0		0		0/3	0	0	3		
1	B. fragilis HM-711	0		0		0		0/3	0	0	3		
1	B. fragilis HM-712	0		0		0		0/3	0	0	3		
1	B. fragilis HM-713	0		0		0		0/3	0	0	3		
1	B. fragilis HM-714	0		0		0		0/3	0	0	3		
1	B. hansenii	0.216		0.0171357086673967		7322.54725		1(1)/3	2	1	3	0.327	
1	B. longum subsp. infantis	0.27	0.130908364896977	0.0300709018545031	0.00345466375476793	2568.8791287037	4442.10074611039	3/3	3	3	3	0.375	0.122503061186241
1	B. longum subsp. longum	0		0		0		0/3	0	0	3		
1	B. obeum	0		0		0		0/3	0	0	3		
1	B. ovatus	0		0		0		0/3	0	0	3		
1	B. stercoris	0		0		0		0/3	0	0	3		
1	B. thetaiotaomicron	0		0		0		1/3	1	1	3		
1	B. uniformis	0		0		0		0/3	0	0	3		
1	B. uniformis HM-715	0		0		0		0/3	0	0	3		
1	B. uniformis HM-716	0		0		0		0/3	0	0	3		
1	B. vulgatus	0		0		0		0/3	0	0	3		
1	B. vulgatus HM-720	0.255333333333333	0.0081445278152471	0.019691457	0.00373295926356128	2.49942488425926	0.270732204693611	3/3	3	3	3	0.363	0.0165227116418583
1	B. wadsworthia	0		0		0		0/3	0	0	3		
1	B. xylanisolvens	0		0		0		0/3	0	0	3		
1	C. aerofaciens	0		0		0		0/3	0	0	3		
1	C. bolteae	0		0		0		0/3	0	0	3		
1	C. catus	0		0		0		0/2	0	0	2		
1	C. comes	0		0		0		0/5	0	0	5		
1	C. leptum	0		0		0		0/3	0	0	3		
1	C. perfringens C36	0		0		0		0/3	0	0	3		
1	C. perfringens S107	0		0		0		0/3	0	0	3		
1	C. ramosum	0		0		0		0/3	0	0	3		
1	C. saccharolyticum	0.150666666666667	0.0897904968987996	0.0168332623333333	0.00890762643106986	1.99924125	0.0452503453104355	0(3)/5	3	0	5	0.259666666666667	0.0845951141221131
1	D. formicigenerans	0.204	0.036592348927064	0.0467230556666667	0.0118423660742993	3.43821842592593	0.373060953323372	3/3	3	3	3	0.305666666666667	0.0367468819538928
1	D. piger	0		0		0		0/3	0	0	3		
1	E. coli CFT073	0.13375	0.0130814754519511	0.004668549	2.70878465736942e-05	2.94966350694444	0.43891134374247	0(2)/3	2	0	3	0.2495	0.0240416305603426
1	E. coli E2348/69	0.17		0.0195507073335884		11580.30875		1(2)/3	3	1	3	0.29	
1	E. coli ED1a	0.191666666666667	0.1105637071255	0.0219434271306143	0.0140876368395688	4441.11266719907	7687.2934050619	3/3	3	3	3	0.306	0.112587743560301
1	E. coli H10407	0.17175	0.0498510280736516	0.0247812094471646	0.00892991372850319	5962.07455065972	8428.44335241635	2/3	2	2	3	0.2845	0.0586898628384835
1	E. coli HM605	0.231		0.0159476224697943		11405.213		1(2)/3	3	1	3	0.347	
1	E. coli IAI1	0.165	0.0367695526217005	0.0155482325458612	0.0150724117338785	6160.16382986111	8706.40274416309	2/3	2	2	3	0.2755	0.0417193000900063
1	E. coli UTI89	0.1895	0.0529173884465211	0.0232493053602137	0.0188173282618362	2164.63982538889	4831.89321080122	5/5	5	5	5	0.3148	0.0696613235590597
1	E. eligens	0		0		0		1/3	1	1	3		
1	E. lenta	0		0		0		0(1)/6	1	0	6		
1	E. limosum	0.296	0.0115325625946708	0.0254230733333333	0.00124487890049769	2.63206273148148	0.204011237163205	3/3	3	3	3	0.397666666666667	0.0109696551146029
1	E. rectale	0		0		0		1/6	1	1	6		
1	E. siraeum	0		0		0		2/6	2	2	6		
1	F. nucleatum subsp. animalis	0		0		0		1/5	1	1	5		
1	F. nucleatum subsp. nucleatum	0		0		0		0/5	0	0	5		
1	F. nucleatum subsp. vincentii	0		0		0		0/3	0	0	3		
1	H. parainfluenzae	0		0		0		0/3	0	0	3		
1	L. acidophilus	0		0		0		0/2	0	0	2		
1	L. delbrueckii subsp. delbrueckii	0		0		0		0/3	0	0	3		
1	L. fermentum	0		0		0		0/3	0	0	3		
1	L. gasseri	0		0		0		0(1)/3	1	0	3		
1	L. lactis	0		0		0		0/3	0	0	3		
1	L. paracasei	0		0		0		0/3	0	0	3		
1	L. plantarum	0		0		0		0/3	0	0	3		
