"Medium","Species","MaxOD","MaxOD_sd","Rate","Rate_sd"
"1","A._odontolyticus",0,NA,0,NA
"1","B._adolescentis",0,NA,0,NA
"1","B._crossotus",0,NA,0,NA
"1","B._hansenii",0.216,NA,0.0171357086673967,NA
"1","B._longum_subsp._longum",0,NA,0,NA
"1","B._thetaiotaomicron",0,NA,0,NA
"1","B._uniformis",0,NA,0,NA
"1","B._vulgatus",0,NA,0,NA
"1","C._bolteae",0,NA,0,NA
"1","C._comes",0,NA,0,NA
"1","C._perfringens_S107",0,NA,0,NA
"1","C._ramosum",0,NA,0,NA
"1","C._saccharolyticum",0.150666666666667,0.0897904968987996,0.0168332623333333,0.00890762643106986
"1","D._piger",0,NA,0,NA
"1","E._lenta",0,NA,0,NA
"1","E._rectale",0,NA,0,NA
"1","E._siraeum",0,NA,0,NA
"1","F._nucleatum_subsp._animalis",0,NA,0,NA
"1","F._nucleatum_subsp._nucleatum",0,NA,0,NA
"1","H._parainfluenzae",0,NA,0,NA
"1","L._gasseri",0,NA,0,NA
"1","L._lactis",0,NA,0,NA
"1","L._paracasei",0,NA,0,NA
"1","L._plantarum",0,NA,0,NA
"1","P._copri",0,NA,0,NA
"1","C._difficile",0,NA,0,NA
"1","P._melaninogenica",0,NA,0,NA
"1","R._gnavus",0,NA,0,NA
"1","S._salivarius",0,NA,0,NA
"10","A._odontolyticus",0,NA,0,NA
"10","B._adolescentis",0.957333333333333,0.320227002817272,0.275874380671489,0.182337199700724
"10","B._crossotus",0,NA,0,NA
"10","B._hansenii",0.5625,0.134962031697807,0.154906552774982,0.0266530753458264
"10","B._longum_subsp._longum",0,NA,0,NA
"10","B._thetaiotaomicron",0.143,NA,0.00671132733920538,NA
"10","B._uniformis",0.636,NA,0.184311605,NA
"10","B._vulgatus",0.535166666666667,0.0949451596098154,0.155657711043718,0.0313092365429648
"10","C._bolteae",0,NA,0,NA
"10","C._comes",0.2401,0.0791125780138658,0.0208003765788352,0.00631028443963558
"10","C._perfringens_S107",0.1385,0.0445477272147525,0.110995626,0.00456255276549084
"10","C._ramosum",0.913666666666667,0.457312894344051,0.0730505462024647,0.050185080201841
"10","C._saccharolyticum",0.6957,0.0870686510748846,0.131546468697718,0.0622621739799514
"10","D._piger",0,NA,0,NA
"10","E._lenta",0,NA,0,NA
"10","E._rectale",0,NA,0,NA
"10","E._siraeum",0,NA,0,NA
"10","F._nucleatum_subsp._animalis",0,NA,0,NA
"10","F._nucleatum_subsp._nucleatum",0,NA,0,NA
"10","H._parainfluenzae",0,NA,0,NA
"10","L._gasseri",0,NA,0,NA
"10","L._lactis",0.511833333333333,0.149301987037458,0.191467187646499,0.0321951617029926
"10","L._paracasei",0.425166666666667,0.129441428195664,0.0794727549472577,0.0266734260997345
"10","L._plantarum",0.603166666666667,0.0527027829752219,0.174916237456956,0.0756403204129139
"10","P._copri",0,NA,0,NA
"10","C._difficile",0,NA,0,NA
"10","P._melaninogenica",0,NA,0,NA
"10","R._gnavus",0.54375,0.00613052471924985,0.0648426831945002,0.0106506822004013
"10","S._salivarius",0.846666666666667,0.12471601073372,0.350464048960812,0.104270464611309
"11","A._odontolyticus",1.10125,0.431043984607913,0.144064603429955,0.0929201042044781
"11","B._adolescentis",1.434,0.0183847763108504,0.467028489903557,0.0486806512034676
"11","B._crossotus",0,NA,0,NA
"11","B._hansenii",0.561,0.0777817459305202,0.125901805875233,0.0606486930486002
"11","B._longum_subsp._longum",0,NA,0,NA
"11","B._thetaiotaomicron",0.695,NA,0.0180588879557122,NA
"11","B._uniformis",0,NA,0,NA
"11","B._vulgatus",0.577,0.0340440890610984,0.0536603648006437,0.0129126727455735
"11","C._bolteae",0,NA,0,NA
"11","C._comes",0.3245,0.232108272149012,0.082643441,0.0601374803002732
"11","C._perfringens_S107",0.7065,0.142128463018496,0.12195220701223,0.0151633547761746
"11","C._ramosum",0.943,0.244270342039307,0.248245694637648,0.110625432459474
"11","C._saccharolyticum",0.7568,0.159802065068008,0.0825473734082336,0.0263647306884257
"11","D._piger",0,NA,0,NA
"11","E._lenta",0,NA,0,NA
"11","E._rectale",0,NA,0,NA
"11","E._siraeum",0,NA,0,NA
"11","F._nucleatum_subsp._animalis",0,NA,0,NA
"11","F._nucleatum_subsp._nucleatum",0,NA,0,NA
"11","H._parainfluenzae",0,NA,0,NA
"11","L._gasseri",0,NA,0,NA
"11","L._lactis",0.521833333333333,0.127204887222674,0.129697960149814,0.0862829090443349
"11","L._paracasei",0,NA,0,NA
"11","L._plantarum",0.6245,0.0775096768152209,0.077085961712013,0.0434854565922151
